mu,size,period,sensitivity
0.5480486408836589,0.6671464461426271,COVID Wave 1,covid_primary_t
0.5766118174119104,0.4860011651596387,COVID Wave 1,covid_primary_t
0.5872338986869068,0.4703239331345693,COVID Wave 1,covid_primary_t
0.7150517036680788,0.5980049135596062,COVID Wave 1,covid_primary_t
0.5480228801479259,0.5022968224845012,COVID Wave 1,covid_primary_t
0.5089264418889992,0.7703193808889242,COVID Wave 1,covid_primary_t
0.5017252259404816,0.629283081542992,COVID Wave 1,covid_primary_t
0.5622097450449526,0.5261869713044445,COVID Wave 1,covid_primary_t
0.4874388250617844,0.8200622135187503,COVID Wave 1,covid_primary_t
0.6655260168328649,0.41406811520561054,COVID Wave 1,covid_primary_t
0.594300504621345,0.5943159858339584,COVID Wave 1,covid_primary_t
0.5871746095875043,0.484193562092755,COVID Wave 1,covid_primary_t
0.5766030594118481,1.1198364883937533,COVID Wave 1,covid_primary_t
0.7045575488582527,0.6312500239320072,COVID Wave 1,covid_primary_t
0.5728562223341005,0.7481050108231491,COVID Wave 1,covid_primary_t
0.6545933839058813,0.48216313690620516,COVID Wave 1,covid_primary_t
0.6015507784992373,0.502238832653803,COVID Wave 1,covid_primary_t
0.5588326555544814,0.3986123810221956,COVID Wave 1,covid_primary_t
0.6441648834865448,0.6671804917355947,COVID Wave 1,covid_primary_t
0.6155813658706383,0.6922873396391678,COVID Wave 1,covid_primary_t
0.5585298830035782,0.5773185020654742,COVID Wave 1,covid_primary_t
0.6120318314535125,0.4067066892552359,COVID Wave 1,covid_primary_t
0.6121534388955798,0.3753977388890013,COVID Wave 1,covid_primary_t
0.5515652651856342,0.48383209899146185,COVID Wave 1,covid_primary_t
0.6619657052792652,0.6726097875514145,COVID Wave 1,covid_primary_t
0.4056077057866607,0.4177490189731513,COVID Wave 1,covid_primary_t
0.5017756301585771,0.6038023383298826,COVID Wave 1,covid_primary_t
0.6227243349501745,0.6819263899504922,COVID Wave 1,covid_primary_t
0.5906608329537757,0.44798126191233434,COVID Wave 1,covid_primary_t
0.5871431095632107,0.4337076533702676,COVID Wave 1,covid_primary_t
0.6050045846855043,0.5611574723364916,COVID Wave 1,covid_primary_t
0.5266799131042097,0.470027717495377,COVID Wave 1,covid_primary_t
0.5515647700146948,0.7679964249216271,COVID Wave 1,covid_primary_t
0.46612781561419314,0.7783936095574367,COVID Wave 1,covid_primary_t
0.6441871896985629,0.4330547138949349,COVID Wave 1,covid_primary_t
0.6406421503090076,0.35138472178566577,COVID Wave 1,covid_primary_t
0.5123770666464399,0.4807422937186673,COVID Wave 1,covid_primary_t
0.5658932460886421,0.5855421116358319,COVID Wave 1,covid_primary_t
0.5587598863639531,0.5542677433534091,COVID Wave 1,covid_primary_t
0.5837303370407685,0.7758412053171355,COVID Wave 1,covid_primary_t
0.7151999310400269,0.45070205344838066,COVID Wave 1,covid_primary_t
0.6405677862540098,0.7410838073816974,COVID Wave 1,covid_primary_t
0.7260736994275186,0.5357581397593898,COVID Wave 1,covid_primary_t
0.8078069553476097,0.517152577969377,COVID Wave 1,covid_primary_t
0.5516992761369157,0.431886550450186,COVID Wave 1,covid_primary_t
0.5444825890189011,0.49985234932973494,COVID Wave 1,covid_primary_t
0.43784876553872837,0.5397356602647093,COVID Wave 1,covid_primary_t
0.6406136818143194,0.4971719667945569,COVID Wave 1,covid_primary_t
0.5800419081438765,0.5800825548707957,COVID Wave 1,covid_primary_t
0.43421456641587497,0.6196289850364958,COVID Wave 1,covid_primary_t
0.6120338261984017,0.48115034941728396,COVID Wave 1,covid_primary_t
0.5872460524937748,0.6438319250233272,COVID Wave 1,covid_primary_t
0.45907993860703616,0.5661277553417592,COVID Wave 1,covid_primary_t
0.5230956577520827,0.6893095807560004,COVID Wave 1,covid_primary_t
0.5195673611064814,0.6539552026318363,COVID Wave 1,covid_primary_t
0.6050094435788334,0.38289696867651285,COVID Wave 1,covid_primary_t
0.6618001872615227,0.6392661138882256,COVID Wave 1,covid_primary_t
0.6404501186004933,0.4116551609161262,COVID Wave 1,covid_primary_t
