t,period,dataset,kt,kt_upper,kt_lower,Rt,Rt_upper,Rt_lower
2020-11-29,COVID Wave 3,primary,0.4504999455287041,0.6094878638992911,0.3425758434319029,0.5921686647169229,0.688063080391154,0.49748523811739087
2020-11-30,COVID Wave 3,primary,0.45139018121522956,0.606198962700874,0.34022791914782086,0.6065223386615263,0.7072742566078952,0.5104939688521319
2020-12-01,COVID Wave 3,primary,0.4277105830342822,0.617806985501196,0.31385424522220734,0.6424280328382472,0.7649347808842768,0.5350152345056738
2020-12-02,COVID Wave 3,primary,0.35027552114047295,0.47095173644542193,0.25781816989739487,0.6357742034691014,0.7588723471888047,0.5176408596947539
2020-12-03,COVID Wave 3,primary,0.34473750889332033,0.48526877995105255,0.2496625949508232,0.6130150002832058,0.7359206599262151,0.5066716931267677
2020-12-04,COVID Wave 3,primary,0.33811617763384544,0.47261025316055716,0.2444112526160063,0.5351507700934842,0.6536160307264299,0.4338513009590135
2020-12-05,COVID Wave 3,primary,0.3049172479342606,0.43061199899873304,0.21907079707481034,0.530420209572883,0.6464862486684035,0.43353317958363935
2020-12-06,COVID Wave 3,primary,0.30987845217693333,0.4122509730723692,0.2310824635851898,0.5000613142261914,0.5870659836837884,0.41552211573648584
2020-12-07,COVID Wave 3,primary,0.3094989375131304,0.4383662158485312,0.22882400009843745,0.5031099358585519,0.6018856069800189,0.4062300553097839
2020-12-08,COVID Wave 3,primary,0.24264913155975001,0.3489880410245456,0.17736172909075087,0.5585676776873493,0.6934171425701957,0.439006673450457
2020-12-09,COVID Wave 3,primary,0.2254439926783685,0.3225626565208673,0.16335081887686886,0.5688612775900662,0.7126727657122968,0.4388904187156535
2020-12-10,COVID Wave 3,primary,0.2389505231347597,0.3369143429690223,0.17239029259096283,0.5853424592796157,0.7256851584432964,0.4651615888965551
2020-12-11,COVID Wave 3,primary,0.19732980825841417,0.2757262816905453,0.13687601675562744,0.515572193686725,0.6502438998129898,0.38880758086247375
2020-12-12,COVID Wave 3,primary,0.20236961252519778,0.30914053875210906,0.13582250069310559,0.46179052906060086,0.607492649301838,0.3478841570284019
2020-12-13,COVID Wave 3,primary,0.2009959165537603,0.2964094665474226,0.142620426445342,0.44338192240498864,0.55871444128906,0.3394339580791631
2020-12-14,COVID Wave 3,primary,0.15718165912687243,0.22739965575612506,0.11160908493030344,0.43788680695096266,0.5573865251597162,0.32537666057491005
