t,method,rt,rt_lower,rt_upper,period
2020-06-27,EpiNow2,1.5759053819687716,1.3786757689470668,1.8089294424391424,COVID Wave 2
2020-06-28,EpiNow2,1.6430233724726246,1.450234134244352,1.903736576414081,COVID Wave 2
2020-06-29,EpiNow2,1.6986439713376176,1.5053051970457108,1.979340845693368,COVID Wave 2
2020-06-30,EpiNow2,1.7436023079764622,1.5418052634171666,2.0341239421131174,COVID Wave 2
2020-07-01,EpiNow2,1.7700416545578628,1.559155093647608,2.0585925400282736,COVID Wave 2
2020-07-02,EpiNow2,1.7696415718735898,1.5639848406377044,2.0427055228389563,COVID Wave 2
2020-07-03,EpiNow2,1.7546502530048462,1.5479180403342443,2.0016412163673563,COVID Wave 2
2020-07-04,EpiNow2,1.7214044872080525,1.5139655462141512,1.937994418066187,COVID Wave 2
2020-07-05,EpiNow2,1.677865756951346,1.4745688116681952,1.8775085518401464,COVID Wave 2
2020-07-06,EpiNow2,1.6272232950835068,1.423429576905349,1.8152074928798632,COVID Wave 2
2020-07-07,EpiNow2,1.5772747206333977,1.3768735683620847,1.762782463416797,COVID Wave 2
2020-07-08,EpiNow2,1.5307108687128892,1.3369281657139502,1.7140404705134362,COVID Wave 2
2020-07-09,EpiNow2,1.4891112494780128,1.3050170117010294,1.6662750099682069,COVID Wave 2
2020-07-10,EpiNow2,1.45460229348773,1.2738469139522033,1.622748325605723,COVID Wave 2
2020-07-11,EpiNow2,1.425014315018871,1.2606219081754253,1.5896828408724648,COVID Wave 2
2020-07-12,EpiNow2,1.4001738917514597,1.2435249594561326,1.5589295368166003,COVID Wave 2
2020-07-13,EpiNow2,1.3773578281358452,1.2265796504629511,1.5343109282357708,COVID Wave 2
2020-07-14,EpiNow2,1.3511787064239087,1.2036574442400785,1.518615613833745,COVID Wave 2
2020-07-15,EpiNow2,1.3236219453225186,1.1784386859835363,1.5028617989993447,COVID Wave 2
2020-07-16,EpiNow2,1.2880859691351385,1.1492782208763417,1.4669942254138784,COVID Wave 2
2020-07-17,EpiNow2,1.2465686590849807,1.1079604846931672,1.4233487351653318,COVID Wave 2
2020-07-18,EpiNow2,1.2015654673692595,1.065029510754501,1.3723218268458108,COVID Wave 2
2020-07-19,EpiNow2,1.1514224982633552,1.0184741017397565,1.305105029086513,COVID Wave 2
2020-07-20,EpiNow2,1.0969600568304032,0.9667601133337158,1.2422250377613224,COVID Wave 2
2020-07-21,EpiNow2,1.043305691552574,0.9141273170052484,1.1765806859540928,COVID Wave 2
2020-07-22,EpiNow2,0.9898375368477824,0.8666068001718339,1.1149399189262656,COVID Wave 2
2020-07-23,EpiNow2,0.9402593823910508,0.8207640941693672,1.0609487025061612,COVID Wave 2
2020-07-24,EpiNow2,0.895327032031344,0.779250813720754,1.0127174391168297,COVID Wave 2
2020-07-25,EpiNow2,0.8591831803745649,0.7429661734608513,0.970118408201683,COVID Wave 2
2020-07-26,EpiNow2,0.8305194548500683,0.7136939581911174,0.9395069304694856,COVID Wave 2
2020-07-27,EpiNow2,0.8074795326158288,0.6928088866952862,0.9156168507512346,COVID Wave 2
2020-07-28,EpiNow2,0.7895603718336688,0.6772778905491375,0.8966372688765293,COVID Wave 2
2020-07-29,EpiNow2,0.776230392010383,0.6686155145760717,0.882036864313733,COVID Wave 2
2020-07-30,EpiNow2,0.7665405925436969,0.6616240801780452,0.8730250712121678,COVID Wave 2
2020-07-31,EpiNow2,0.7590041033892609,0.6567872796794659,0.8679171059600926,COVID Wave 2
2020-08-01,EpiNow2,0.7521798022688131,0.6531970145360445,0.8678392808269276,COVID Wave 2
2020-08-02,EpiNow2,0.746114499108987,0.6508521329565394,0.8669899078702453,COVID Wave 2
2020-08-03,EpiNow2,0.7395275112911845,0.647238581214937,0.8629463259479271,COVID Wave 2
2020-08-04,EpiNow2,0.735559550595817,0.6400812805087378,0.8566329197976376,COVID Wave 2
2020-08-05,EpiNow2,0.7286860172138563,0.6295743449969643,0.8495281687834582,COVID Wave 2
2020-08-06,EpiNow2,0.7195426054529217,0.6196174216420798,0.8351367937139725,COVID Wave 2
2020-08-07,EpiNow2,0.7095448009353371,0.6057230596003029,0.8281071395551575,COVID Wave 2
2020-08-08,EpiNow2,0.6996095079203222,0.5974105718072398,0.8180171639643593,COVID Wave 2
2020-08-09,EpiNow2,0.6918577654401858,0.5901382023315556,0.8067336456112928,COVID Wave 2
2020-08-10,EpiNow2,0.6839234642186787,0.5794169233316874,0.7972742335416537,COVID Wave 2
2020-08-11,EpiNow2,0.6791153842149362,0.5749832315101319,0.7889377858634636,COVID Wave 2
2020-08-12,EpiNow2,0.67645242720015,0.5738961869940163,0.7908840599765621,COVID Wave 2
2020-08-13,EpiNow2,0.6772409363870016,0.5722630296405471,0.7866614615498096,COVID Wave 2
2020-08-14,EpiNow2,0.6801307946335655,0.5741051833024338,0.78833100719975,COVID Wave 2
2020-08-15,EpiNow2,0.6859032513465904,0.5769277121369702,0.7935269564104863,COVID Wave 2
2020-08-16,EpiNow2,0.6934737947679466,0.5828744896116471,0.8054672571100373,COVID Wave 2
2020-08-17,EpiNow2,0.7043185342276568,0.5935133178845567,0.8158478939238059,COVID Wave 2
2020-08-18,EpiNow2,0.7165874451613885,0.6011802842842031,0.8319842809299983,COVID Wave 2
2020-08-19,EpiNow2,0.7283704869138061,0.6088738303241366,0.8480782570303342,COVID Wave 2
2020-08-20,EpiNow2,0.7423195363117195,0.6211706459269174,0.8719920673678082,COVID Wave 2
2020-08-21,EpiNow2,0.7590393098173276,0.6370776292270713,0.8918799507216664,COVID Wave 2
2020-08-22,EpiNow2,0.7746477230461086,0.6548981247069895,0.9077080949671944,COVID Wave 2
2020-08-23,EpiNow2,0.7941113487732163,0.6735359045248457,0.9282151042663298,COVID Wave 2
2020-08-24,EpiNow2,0.8122402176362802,0.690724961949416,0.9546105529753848,COVID Wave 2
2020-08-25,EpiNow2,0.8320973998692102,0.7116880698752394,0.9806927858258104,COVID Wave 2
2020-08-26,EpiNow2,0.8530267510665063,0.7263616000200688,1.0050604889944503,COVID Wave 2
2020-08-27,EpiNow2,0.8748497441696556,0.745988574317795,1.0237867938284484,COVID Wave 2
2020-08-28,EpiNow2,0.8952652971580739,0.7581471752423791,1.0492201415226845,COVID Wave 2
2020-08-29,EpiNow2,0.9131843613755783,0.7704939318263153,1.0708271184084286,COVID Wave 2
2020-08-30,EpiNow2,0.926217586515134,0.7846656523081897,1.08634571766384,COVID Wave 2
2020-08-31,EpiNow2,0.9357377235957908,0.7939396336895802,1.101760253640851,COVID Wave 2
2020-09-01,EpiNow2,0.9398305120581756,0.8010809389681743,1.1099810769859726,COVID Wave 2
2020-09-02,EpiNow2,0.9404216978190424,0.8013253154771873,1.115573856705474,COVID Wave 2
2020-09-03,EpiNow2,0.9361278302571152,0.796633834720114,1.110498370275799,COVID Wave 2
2020-09-04,EpiNow2,0.9277547048959248,0.791422656297714,1.100340859416199,COVID Wave 2
2020-09-05,EpiNow2,0.9140896288141698,0.7811365506672429,1.0871432636729608,COVID Wave 2
2020-09-06,EpiNow2,0.8998869898060534,0.7670812913838804,1.068938311357099,COVID Wave 2
2020-09-07,EpiNow2,0.8828815535118317,0.7506241838109443,1.048891404280135,COVID Wave 2
2020-09-08,EpiNow2,0.8652983435299257,0.7286226385280365,1.021579723303402,COVID Wave 2
2020-09-09,EpiNow2,0.8496899933055644,0.7085359593323102,1.0011845033039544,COVID Wave 2
2020-09-10,EpiNow2,0.8373409167353905,0.6960152113788041,0.984917698677196,COVID Wave 2
2020-09-11,EpiNow2,0.8276740393357869,0.6813502706378778,0.9829695654298086,COVID Wave 2
2020-09-12,EpiNow2,0.8231089778119955,0.6695742035269111,0.978460677310893,COVID Wave 2
2020-09-13,EpiNow2,0.8235905928569667,0.6688733703592389,0.9807347300676726,COVID Wave 2
2020-09-14,EpiNow2,0.8300226060746583,0.6744975041432186,0.9909346496306612,COVID Wave 2
2020-09-15,EpiNow2,0.8441140051040532,0.6893927304902796,1.0055190144405806,COVID Wave 2
2020-09-16,EpiNow2,0.8651646507125705,0.708174391178758,1.0258119453575838,COVID Wave 2
2020-09-17,EpiNow2,0.8903442014392651,0.7330599953791778,1.0509949017807718,COVID Wave 2
2020-09-18,EpiNow2,0.9241913865785064,0.7653047430315161,1.083934271893738,COVID Wave 2
2020-09-19,EpiNow2,0.959718626240662,0.8055770174805412,1.1222086742003652,COVID Wave 2
2020-09-20,EpiNow2,1.0009782701367205,0.846661770962445,1.1661856979920606,COVID Wave 2
2020-09-21,EpiNow2,1.0433881368976026,0.8886929100968332,1.2192996696776832,COVID Wave 2
2020-09-22,EpiNow2,1.0873488558965696,0.9293958465435496,1.2684291335301807,COVID Wave 2
2020-09-23,EpiNow2,1.1241410985006934,0.9690867431621148,1.3225038254161054,COVID Wave 2
2020-09-24,EpiNow2,1.1579898551937766,0.9927117487323054,1.363707487370473,COVID Wave 2
2020-09-25,EpiNow2,1.1841506364030958,1.0098456250120909,1.4011034631083,COVID Wave 2
2020-09-26,EpiNow2,1.1972426158385987,1.0229788847637262,1.4252068003418512,COVID Wave 2
2020-09-27,EpiNow2,1.199013932601321,1.024781008197796,1.4261328759828429,COVID Wave 2
2020-09-28,EpiNow2,1.1911086579581611,1.0182074428334282,1.4149858752009536,COVID Wave 2
2020-09-29,EpiNow2,1.1711931374443698,1.0021387642447388,1.3910984436577951,COVID Wave 2
2020-09-30,EpiNow2,1.1451990479552157,0.9747488037007728,1.348868727437825,COVID Wave 2
2020-10-01,EpiNow2,1.1099707600788469,0.9458424548280868,1.303356240076972,COVID Wave 2
2020-10-02,EpiNow2,1.0742714670555595,0.908315810170154,1.2567954912712394,COVID Wave 2
2020-10-03,EpiNow2,1.036296901504802,0.8726482628864782,1.210645048185027,COVID Wave 2
2020-10-04,EpiNow2,1.0002967382628614,0.842733883401671,1.1652207656524964,COVID Wave 2
2020-10-05,EpiNow2,0.9672758946332464,0.8114528917355656,1.1295785060972006,COVID Wave 2
2020-10-06,EpiNow2,0.935608354202309,0.7796665356600955,1.0946047511652215,COVID Wave 2
2020-10-07,EpiNow2,0.9075906843963664,0.756428414966287,1.0652696815688936,COVID Wave 2
2020-10-08,EpiNow2,0.8843069815828237,0.7384227125138243,1.0421295952456329,COVID Wave 2
2020-10-09,EpiNow2,0.8658832848007528,0.7238340027931747,1.020565830224662,COVID Wave 2
2020-10-10,EpiNow2,0.8501433474300704,0.7096526686127569,1.0063989321431115,COVID Wave 2
2020-10-27,EpiNow2,1.1135843512742172,0.941433725089873,1.3423839705513,COVID Wave 3
2020-10-28,EpiNow2,1.1418577948857536,0.9680078245793492,1.3796805885774917,COVID Wave 3
2020-10-29,EpiNow2,1.1650086323527935,0.9958245520433872,1.4025637194315932,COVID Wave 3
2020-10-30,EpiNow2,1.1843805044361475,1.0143658171199612,1.4132135127153256,COVID Wave 3
2020-10-31,EpiNow2,1.1970073711171485,1.0211899882136837,1.4106479621450716,COVID Wave 3
2020-11-01,EpiNow2,1.2038259981963808,1.0280564127433858,1.4134481584716825,COVID Wave 3
2020-11-02,EpiNow2,1.2127643159497097,1.0302763044812333,1.420935685826075,COVID Wave 3
2020-11-03,EpiNow2,1.226980196620823,1.0304027467501151,1.4372746289405287,COVID Wave 3
2020-11-04,EpiNow2,1.2489895625596934,1.034126003345344,1.4644773409211138,COVID Wave 3
2020-11-05,EpiNow2,1.282050833026942,1.049674834341436,1.5068236363804262,COVID Wave 3
2020-11-06,EpiNow2,1.3248823726951495,1.0789016881997449,1.563525044931149,COVID Wave 3
2020-11-07,EpiNow2,1.384370243985507,1.13750326149346,1.6210408646828742,COVID Wave 3
2020-11-08,EpiNow2,1.4565317262037312,1.211814232180949,1.6898919084394162,COVID Wave 3
