t_start,t_end,window,k_input,Rc,Rc_lower,Rc_upper,kc,kc_lower,kc_upper,window_t,t
117,124,weekly,10,0.5393012764850266,0.1645521177802234,1.0198925107085712,748224.8418721128,0.48713592189986504,6718245.116060819,7,120.5
117,131,fortnightly,10,0.5105076116940049,0.15163567942314016,1.0000492508353835,435709.5975594917,0.4810048471859329,4929397.891626944,14,124
118,125,weekly,10,0.5518447877514667,0.1645521177802234,1.0670452703696816,651266.2944869035,0.3776567161958164,7282309.223214612,7,121.5
118,132,fortnightly,10,0.5176049752341324,0.15362282378576833,1.000147497743029,512834.1571024121,0.4565311233215472,5543401.513734567,14,125
119,126,weekly,10,0.5697545199239368,0.17781910077067878,1.233630734757582,879882.1106029563,0.44498098328127345,7643942.523692218,7,122.5
119,133,fortnightly,10,0.5244295802120286,0.16881523716126276,1.0001747804824876,877582.2974195592,0.45045786197520465,6026950.787078814,14,126
120,127,weekly,10,0.5855159477897145,0.1889002249622432,1.367118202943882,855657.6903126965,0.5444914586305554,7114107.570452659,7,123.5
120,134,fortnightly,10,0.5310183523124373,0.17272855682432406,1.0002087774220019,1002995.5977827114,0.5541579194648327,6765391.751867478,14,127
121,128,weekly,10,0.5944461315135304,0.18274007743809587,1.431063621037184,1091894.7585898892,0.6000563776145017,6286573.813695638,7,124.5
121,135,fortnightly,10,0.5373412486958755,0.16994655471664463,1.0178602967261445,1179847.7177368158,0.5817261752036961,6634937.403104101,14,128
122,129,weekly,10,0.6000874807744698,0.17165895324653146,1.3966191117819833,1219154.1743284685,0.5500203893616508,5924940.513218034,7,125.5
122,136,fortnightly,10,0.5442314824846229,0.1547541413411502,1.070444835219477,978242.2623094524,0.6020410687461276,6151388.129759856,14,129
123,130,weekly,10,0.6000874807744698,0.17165895324653146,1.3966191117819833,1219154.1743284685,0.5500203893616508,5924940.513218034,7,126.5
123,137,fortnightly,10,0.5482565147624916,0.1508408216780889,1.112713108678655,1189875.329634898,0.6319836273546101,5996101.785422996,14,130
124,138,fortnightly,10,0.5449058779932706,0.15739839807476189,1.1666646377275356,1264399.6816751158,0.6833758894279699,6107589.424310073,14,131
125,139,fortnightly,10,0.5449058779932706,0.15739839807476189,1.1666646377275356,1264399.6816751158,0.6833758894279699,6107589.424310073,14,132
0,7,weekly,100,2.2710101098707782,1.111140198714063,3.7602412381345975,3035396.8555398528,1.797976198829982,62010728.58933271,7,3.5
0,14,fortnightly,100,2.152937238837571,1.3701788740944962,3.095570503964868,859738.8115992403,2.5082108475489093,17100327.44353822,14,7
1,8,weekly,100,2.2710101098707782,1.111140198714063,3.7602412381345975,3035396.8555398528,1.797976198829982,62010728.58933271,7,4.5
1,15,fortnightly,100,2.152937238837571,1.3701788740944962,3.095570503964868,859738.8115992403,2.5082108475489093,17100327.44353822,14,8
2,9,weekly,100,2.1880015362241605,1.066703614367426,3.686037078051957,3013073.485057436,1.398447216362069,57714479.70843938,7,5.5
2,16,fortnightly,100,2.1266427396676275,1.3561948573741727,3.137204168064164,709883.4420194408,2.6607890885551755,14836652.464407392,14,9
3,10,weekly,100,2.1788832035905332,1.1269347812366963,3.541287119230466,2804205.9705575206,1.6605393202192695,46647012.23279194,7,6.5
3,17,fortnightly,100,2.1129540468974324,1.4582292209413454,2.996272294303021,571013.714303793,2.918977498813487,13720102.35392945,14,10
4,11,weekly,100,2.181432088177782,1.2147596118011166,3.5563222744640206,2431645.577924616,1.7815566687672357,35101805.94920468,7,7.5
4,18,fortnightly,100,2.093947889882177,1.5235917891283821,2.857354941836341,558817.2491515962,3.165114754521403,15416862.656630548,14,11
5,12,weekly,100,2.181473018373886,1.243378853134776,3.5286203183989375,1737716.1222707815,1.9594343503474656,25373721.519835696,7,8.5
5,19,fortnightly,100,2.076457858428172,1.550352594562758,2.7636749716760853,686220.803107614,3.395503567943044,17351362.220950846,14,12
6,13,weekly,100,2.1714795455904414,1.2499173789751332,3.4514604859359093,1521805.507055457,2.1315003173839964,23173270.53999274,7,9.5
6,20,fortnightly,100,2.0611983174904496,1.5541400006797208,2.7155247994539615,663702.8650497113,3.4343516491894697,16068773.9362674,14,13
7,14,weekly,100,2.1472693415313575,1.2173665291925668,3.3614115313165756,1508308.9977002933,2.1801534424997016,21412348.25093775,7,10.5
7,21,fortnightly,100,2.0509414349428092,1.557728143079295,2.661563555876946,556597.8234827843,3.477308347598452,14386646.828333667,14,14
8,15,weekly,100,2.130443510225117,1.1918729101992394,3.37477844254639,1494826.1552180953,2.0423763775878783,20491400.968348343,7,11.5
8,22,fortnightly,100,2.0413230275438057,1.5640473236130052,2.6094261813810022,378420.4161058963,3.588867828608787,11964603.39036879,14,15
