t,sse,n,k_input
142,ss_link,1.353846153846154,0.1
142,nn,0.9846153846153847,0.1
143,ssn,0.03333333333333333,0.1
143,ss_link,1.2333333333333334,0.1
143,nn,1.0166666666666666,0.1
144,ssn,0,0.1
144,ss_link,1.1724137931034482,0.1
144,nn,1,0.1
145,ssn,0.022222222222222223,0.1
145,ss_link,0.8666666666666667,0.1
145,nn,0.9777777777777777,0.1
146,ssn,0.018518518518518517,0.1
146,ss_link,0.7777777777777778,0.1
146,nn,1.1481481481481481,0.1
147,ssn,0.022727272727272728,0.1
147,ss_link,0.7045454545454546,0.1
147,nn,1.25,0.1
148,ssn,0.029411764705882353,0.1
148,ss_link,0.6764705882352942,0.1
148,nn,1.088235294117647,0.1
149,ssn,0.029411764705882353,0.1
149,ss_link,0.6764705882352942,0.1
149,nn,1.1764705882352942,0.1
150,ssn,0.03571428571428571,0.1
150,ss_link,0.6428571428571429,0.1
150,nn,1.1071428571428572,0.1
151,ssn,0,0.1
151,ss_link,0.8421052631578947,0.1
151,nn,1,0.1
152,ssn,0.037037037037037035,0.1
152,ss_link,0.5555555555555556,0.1
152,nn,1.2962962962962963,0.1
153,ssn,0.045454545454545456,0.1
153,ss_link,0.5,0.1
153,nn,1.0909090909090908,0.1
154,ssn,0.16666666666666666,0.1
154,ss_link,0.6111111111111112,0.1
154,nn,1.1111111111111112,0.1
155,ssn,0,0.1
155,ss_link,0.5,0.1
155,nn,1.0714285714285714,0.1
156,ssn,0,0.1
156,ss_link,0.5,0.1
156,nn,1.125,0.1
157,ssn,0.1,0.1
157,ss_link,0.7,0.1
157,nn,0.9,0.1
158,ssn,0,0.1
158,ss_link,0.45454545454545453,0.1
158,nn,0.9090909090909091,0.1
159,ssn,0.09090909090909091,0.1
159,ss_link,1.1818181818181819,0.1
159,nn,0.6363636363636364,0.1
160,ssn,0,0.1
160,ss_link,1.1,0.1
160,nn,0.9,0.1
161,ssn,0.1111111111111111,0.1
161,ss_link,1.3333333333333333,0.1
161,nn,0.8888888888888888,0.1
162,ssn,0.16666666666666666,0.1
162,ss_link,1.5,0.1
162,nn,0.5,0.1
163,ssn,0,0.1
163,ss_link,0.875,0.1
163,nn,0.625,0.1
164,ssn,0.14285714285714285,0.1
164,ss_link,0.7142857142857143,0.1
164,nn,0.8571428571428571,0.1
165,ssn,0,0.1
165,ss_link,0.8,0.1
165,nn,0.8,0.1
166,ssn,0.2857142857142857,0.1
166,ss_link,0.5714285714285714,0.1
166,nn,0.5714285714285714,0.1
167,ssn,0,0.1
167,ss_link,0.6,0.1
167,nn,0.6,0.1
168,ssn,0,0.1
168,ss_link,1,0.1
168,nn,1,0.1
169,ssn,0,0.1
169,ss_link,0.6,0.1
169,nn,0.4,0.1
170,ssn,0.5,0.1
170,ss_link,1.5,0.1
170,nn,0.25,0.1
171,ssn,0,0.1
171,ss_link,2,0.1
171,nn,0.25,0.1
172,ssn,0,0.1
172,ss_link,1.8333333333333333,0.1
172,nn,0.5,0.1
173,ssn,0,0.1
173,ss_link,1.1666666666666667,0.1
173,nn,0.8333333333333334,0.1
174,ssn,0,0.1
